respondent-id,age,gender,education,income,children,marital,pets
OU899M,35-44,F,Postgraduate degree,Mid 50%,0,single,0
ES569Z,25-34,M,Schooling until age 16,Mid 50%,0,single,2
FH326O,45-64,F,Postgraduate degree,Bottom 25%,1,single,0
SG465D,16-24,F,Trade / technical school or college,Bottom 25%,0,single,2
NN280D,25-34,M,Schooling until age 18,Mid 50%,0,single,2
UG136B,45-64,F,Schooling until age 18,Mid 50%,3+,single,2
HA833A,45-64,M,University degree,Bottom 25%,2,single,3+
YS249G,45-64,M,University degree,Mid 50%,2,married,2
GE628B,35-44,F,Schooling until age 18,Mid 50%,1,married,2
UP483L,45-64,M,Schooling until age 18,Mid 50%,2,married,3+
DM778J,45-64,F,Schooling until age 18,Prefer not to say,2,single,3+
AG420T,25-34,F,Schooling until age 18,Mid 50%,0,single,3+
YO216J,35-44,F,Postgraduate degree,Top 25%,3+,married,1
GF540G,35-44,M,Postgraduate degree,Top 25%,2,married,1
PO206M,45-64,F,Schooling until age 16,Prefer not to say,0,single,3+
NN239F,35-44,M,Postgraduate degree,Mid 50%,1,married,3+
OU248Z,25-34,F,Trade / technical school or college,Top 25%,0,single,3+
XI248D,35-44,F,University degree,Top 25%,0,married,0
UL201Y,45-64,F,Schooling until age 18,Bottom 25%,0,single,1
JD743C,16-24,M,Schooling until age 18,Mid 50%,0,single,2
MT726J,45-64,F,Schooling until age 18,Mid 50%,3+,married,3+
YU825C,45-64,M,University degree,Mid 50%,2,married,0
MQ276X,35-44,F,University degree,Mid 50%,0,single,0
OK573R,45-64,M,University degree,Bottom 25%,0,single,1
AU103U,25-34,F,Postgraduate degree,Mid 50%,1,single,3+
KL872P,45-64,F,Schooling until age 18,Top 25%,2,married,0
KD729I,45-64,F,University degree,Top 25%,0,single,3+
KE980K,45-64,M,Schooling until age 16,Bottom 25%,0,single,1
UW695I,45-64,M,Schooling until age 18,Mid 50%,0,married,1
NX541O,16-24,F,Schooling until age 16,Prefer not to say,0,single,3+
QF639H,16-24,M,University degree,Mid 50%,0,single,3+
ST351I,25-34,M,University degree,Mid 50%,0,single,0
JB945G,25-34,F,University degree,Mid 50%,2,single,1
XB868V,45-64,M,Schooling until age 16,Mid 50%,2,married,1
EZ702M,25-34,M,University degree,Mid 50%,2,married,1
RF326F,35-44,F,Trade / technical school or college,Prefer not to say,1,single,1
SE771R,16-24,F,University degree,Prefer not to say,0,single,1
PX380R,16-24,M,Trade / technical school or college,Bottom 25%,0,single,0
ZK384X,25-34,M,University degree,Mid 50%,1,married,3+
GQ669L,16-24,M,Schooling until age 16,Bottom 25%,0,single,1
RA424N,25-34,M,Trade / technical school or college,Mid 50%,0,single,1
IN604X,45-64,M,Trade / technical school or college,Prefer not to say,1,single,2
OP103R,45-64,F,Schooling until age 18,Bottom 25%,0,single,2
JT363W,35-44,F,Postgraduate degree,Mid 50%,1,married,1
AI721H,45-64,M,Schooling until age 16,Bottom 25%,0,married,1
XD106Z,35-44,M,Schooling until age 18,Mid 50%,1,single,1
RO196X,16-24,F,Schooling until age 18,Top 25%,0,single,3+
JF569S,45-64,F,Trade / technical school or college,Mid 50%,1,married,0
TW380D,45-64,F,University degree,Mid 50%,0,single,2
AJ565E,45-64,M,University degree,Top 25%,2,single,1
MJ823O,25-34,F,University degree,Mid 50%,0,single,2
GY613W,25-34,F,University degree,Bottom 25%,0,single,2
JE578A,45-64,M,Schooling until age 18,Mid 50%,0,single,2
FF979V,25-34,M,Schooling until age 18,Top 25%,0,single,0
IJ551L,45-64,M,University degree,Top 25%,0,married,1
MG303Z,25-34,M,Schooling until age 16,Top 25%,0,single,2
FQ164J,45-64,M,Postgraduate degree,Mid 50%,2,married,2
PG838S,25-34,F,Schooling until age 16,Mid 50%,0,single,3+
HU323X,25-34,M,Schooling until age 18,Mid 50%,0,single,1
JZ603R,16-24,M,University degree,Top 25%,0,single,2
CY635K,25-34,F,Schooling until age 18,Mid 50%,0,married,1
NE368R,16-24,F,Schooling until age 18,Mid 50%,0,single,3+
HC957B,16-24,M,University degree,Prefer not to say,0,single,3+
WZ297P,35-44,F,Schooling until age 16,Mid 50%,0,single,3+
YZ269N,25-34,M,Postgraduate degree,Top 25%,1,married,3+
RD937D,35-44,F,Postgraduate degree,Mid 50%,3+,married,2
BL625W,45-64,M,Schooling until age 16,Mid 50%,2,single,2
UT234C,16-24,F,Schooling until age 18,Bottom 25%,0,single,0
BX105J,45-64,M,University degree,Mid 50%,0,single,2
BD300K,45-64,F,University degree,Mid 50%,0,single,1
HH220D,45-64,M,Postgraduate degree,Mid 50%,0,single,2
MV283X,45-64,F,University degree,Top 25%,2,single,2
RP968Y,45-64,F,Postgraduate degree,Top 25%,2,married,0
XW809O,35-44,M,Schooling until age 18,Prefer not to say,1,single,0
MZ477B,25-34,F,Trade / technical school or college,Mid 50%,1,single,3+
WD454Y,45-64,F,Trade / technical school or college,Bottom 25%,2,single,1
AX998A,45-64,M,Schooling until age 18,Mid 50%,0,married,3+
EA256O,45-64,F,Postgraduate degree,Mid 50%,0,single,0
OO964M,35-44,F,Schooling until age 18,Mid 50%,0,married,3+
NU717E,35-44,F,Postgraduate degree,Prefer not to say,0,single,3+
AY362I,25-34,M,Trade / technical school or college,Top 25%,2,married,1
NT848G,45-64,F,Schooling until age 16,Bottom 25%,1,single,2
OP988N,25-34,M,Schooling until age 16,Bottom 25%,0,single,3+
QL872D,35-44,F,Postgraduate degree,Prefer not to say,3+,married,1
AL138C,45-64,F,Schooling until age 16,Mid 50%,2,single,1
AG953Q,25-34,M,Trade / technical school or college,Bottom 25%,2,single,1
BX879P,45-64,F,Schooling until age 18,Mid 50%,2,single,0
GK714B,45-64,F,Schooling until age 16,Bottom 25%,1,married,3+
UJ371T,45-64,F,University degree,Mid 50%,0,married,3+
AL652Y,35-44,M,University degree,Mid 50%,2,married,3+
UD965L,45-64,M,Schooling until age 18,Mid 50%,1,married,3+
QJ275P,25-34,M,University degree,Mid 50%,2,married,2
SW166C,45-64,M,University degree,Prefer not to say,3+,married,1
NG840H,35-44,M,Schooling until age 18,Mid 50%,1,single,2
MJ448M,45-64,F,Schooling until age 18,Mid 50%,3+,single,3+
BK172X,45-64,M,Schooling until age 16,Mid 50%,2,married,0
JN175M,35-44,M,University degree,Mid 50%,2,married,2
KT317O,25-34,F,University degree,Prefer not to say,0,married,2
CF527A,25-34,F,Schooling until age 18,Mid 50%,0,single,1
ZC578D,25-34,M,Schooling until age 18,Mid 50%,0,single,2
BY623A,35-44,F,Schooling until age 18,Top 25%,1,married,2
UY273T,16-24,F,University degree,Bottom 25%,0,single,2
GR724P,16-24,M,Schooling until age 16,Bottom 25%,0,single,2
GP278D,25-34,F,University degree,Mid 50%,0,single,3+
US481I,45-64,F,Schooling until age 16,Bottom 25%,0,single,1
ZN115D,45-64,M,Schooling until age 18,Top 25%,0,married,1
YH698K,45-64,F,Schooling until age 16,Prefer not to say,0,single,0
SZ757U,16-24,F,University degree,Mid 50%,0,single,2
JP266O,45-64,F,Trade / technical school or college,Mid 50%,2,single,1
IA994Q,45-64,M,Schooling until age 16,Mid 50%,0,married,1
PE673Q,35-44,M,Schooling until age 18,Mid 50%,1,single,3+
AV629Z,45-64,F,Trade / technical school or college,Bottom 25%,0,single,3+
EV249T,25-34,M,University degree,Mid 50%,0,single,1
OQ741C,25-34,F,Trade / technical school or college,Mid 50%,1,married,3+
VW853C,25-34,F,Schooling until age 16,Bottom 25%,2,single,3+
ND532W,16-24,F,Schooling until age 18,Mid 50%,0,single,1
BV956J,16-24,F,Schooling until age 18,Mid 50%,2,married,2
UM822Z,45-64,F,University degree,Bottom 25%,1,single,1
FC377X,45-64,M,University degree,Mid 50%,0,single,0
DY118H,25-34,M,University degree,Mid 50%,1,single,1
IA130T,45-64,F,University degree,Top 25%,2,married,2
EQ721G,16-24,M,Postgraduate degree,Bottom 25%,0,single,2
XV513S,45-64,F,Schooling until age 16,Bottom 25%,3+,married,3+
SK266D,45-64,M,Trade / technical school or college,Prefer not to say,2,single,3+
WO754Q,25-34,F,University degree,Mid 50%,0,single,0
BH576K,16-24,M,Schooling until age 18,Bottom 25%,1,single,2
KV457P,35-44,M,University degree,Top 25%,3+,married,1
VD377T,45-64,F,Schooling until age 18,Bottom 25%,0,single,3+
JD835F,35-44,M,Postgraduate degree,Top 25%,2,married,3+
VI978B,45-64,F,Trade / technical school or college,Mid 50%,1,married,2
WV159N,35-44,M,Trade / technical school or college,Mid 50%,1,married,2
VT199U,16-24,F,Schooling until age 18,Bottom 25%,0,single,0
UR744Z,45-64,F,Trade / technical school or college,Mid 50%,0,single,3+
HU474I,35-44,F,Trade / technical school or college,Prefer not to say,1,single,1
VT543P,45-64,M,Trade / technical school or college,Bottom 25%,2,single,2
CU332G,45-64,F,University degree,Top 25%,1,married,3+
BV567J,25-34,F,Trade / technical school or college,Mid 50%,0,single,2
MD295P,25-34,M,Trade / technical school or college,Mid 50%,3+,married,3+
VN201N,35-44,F,Schooling until age 18,Mid 50%,3+,single,0
ZO185L,45-64,F,Schooling until age 16,Bottom 25%,3+,single,3+
GX171Q,35-44,M,University degree,Top 25%,2,married,0
WR642I,25-34,F,University degree,Mid 50%,0,single,3+
XO354S,35-44,M,Postgraduate degree,Top 25%,2,married,2
GX363V,35-44,F,University degree,Bottom 25%,0,single,0
YN275F,45-64,F,Trade / technical school or college,Mid 50%,2,single,2
CE544Q,45-64,M,Schooling until age 16,Bottom 25%,0,single,2
FC973A,45-64,M,Schooling until age 18,Mid 50%,2,married,0
GT665U,35-44,M,University degree,Top 25%,0,single,3+
DZ372M,45-64,M,Trade / technical school or college,Top 25%,1,married,1
QC918Y,45-64,M,University degree,Mid 50%,0,single,2
VG322G,16-24,M,University degree,Mid 50%,1,single,1
BA490F,45-64,M,Trade / technical school or college,Top 25%,1,married,1
KO518Z,25-34,F,Schooling until age 16,Bottom 25%,0,single,1
UZ613B,35-44,F,Postgraduate degree,Mid 50%,2,single,2
FE193F,16-24,F,Schooling until age 18,Bottom 25%,0,single,0
FJ439P,45-64,F,Schooling until age 16,Mid 50%,2,married,2
HE484F,16-24,M,Schooling until age 16,Bottom 25%,0,single,0
PB975P,16-24,F,Schooling until age 16,Prefer not to say,0,single,3+
ZI831D,35-44,F,University degree,Top 25%,0,single,1
ZO373P,45-64,F,Schooling until age 16,Bottom 25%,0,married,2
WZ261Q,25-34,M,Schooling until age 18,Mid 50%,1,married,3+
NB624D,35-44,M,Postgraduate degree,Top 25%,2,married,3+
FG688I,45-64,M,Postgraduate degree,Mid 50%,0,single,1
TX426F,35-44,M,Postgraduate degree,Top 25%,0,married,3+
AG590M,16-24,F,Trade / technical school or college,Bottom 25%,0,single,1
CT542Y,16-24,F,Schooling until age 18,Mid 50%,1,single,3+
YW259F,45-64,M,Schooling until age 18,Bottom 25%,0,single,0
QG146H,45-64,F,Schooling until age 18,Mid 50%,3+,single,3+
KA605C,16-24,F,Schooling until age 16,Prefer not to say,0,single,0
RS601U,45-64,F,Schooling until age 16,Bottom 25%,0,single,0
PT543L,45-64,F,Schooling until age 18,Mid 50%,0,married,3+
VZ962M,25-34,M,University degree,Top 25%,0,single,1
LN990P,45-64,F,University degree,Top 25%,2,married,0
BE359A,45-64,F,Schooling until age 16,Mid 50%,2,single,3+
PL454E,45-64,F,University degree,Mid 50%,0,married,1
VN392W,35-44,M,Schooling until age 16,Bottom 25%,0,single,1
NO733S,35-44,M,University degree,Mid 50%,0,single,0
WQ684C,45-64,M,Schooling until age 16,Bottom 25%,3+,single,0
MT455M,45-64,F,University degree,Top 25%,2,married,2
WO290S,45-64,M,Schooling until age 16,Bottom 25%,2,married,2
KY268S,45-64,F,Postgraduate degree,Mid 50%,3+,married,0
OY948J,45-64,M,Schooling until age 18,Top 25%,2,married,3+
LR750U,16-24,M,Schooling until age 16,Prefer not to say,0,single,0
ST612X,45-64,M,University degree,Top 25%,2,married,1
SH367N,25-34,M,University degree,Top 25%,0,single,0
SQ280I,25-34,M,University degree,Mid 50%,0,single,0
GD293L,35-44,F,Schooling until age 16,Bottom 25%,0,single,1
FV798Z,35-44,M,Postgraduate degree,Top 25%,3+,married,0
EV526S,45-64,F,Trade / technical school or college,Bottom 25%,2,single,2
AA243F,25-34,M,Schooling until age 18,Top 25%,0,single,2
UA675V,45-64,F,Schooling until age 16,Mid 50%,2,married,0
HI739Q,35-44,F,Trade / technical school or college,Bottom 25%,0,single,3+
HC786T,25-34,M,Postgraduate degree,Mid 50%,0,single,0
NQ581O,35-44,F,Trade / technical school or college,Mid 50%,2,married,2
GY266I,35-44,F,Trade / technical school or college,Mid 50%,1,single,1
PE768Y,45-64,M,University degree,Mid 50%,1,married,2
UQ418C,45-64,F,Schooling until age 18,Prefer not to say,2,married,2
HR484T,35-44,M,University degree,Top 25%,2,single,0
GD547Q,45-64,F,Schooling until age 16,Mid 50%,0,married,2
LB716K,45-64,M,Trade / technical school or college,Mid 50%,0,married,0
DK359U,25-34,F,Schooling until age 16,Mid 50%,3+,single,2
MX544E,35-44,M,Schooling until age 18,Top 25%,1,married,2
DE390L,16-24,M,Schooling until age 18,Prefer not to say,0,single,0
RM313R,25-34,F,University degree,Bottom 25%,0,single,1
FN842M,45-64,F,Schooling until age 18,Bottom 25%,1,married,2
ZM595U,45-64,F,Trade / technical school or college,Bottom 25%,0,single,3+
MI750N,25-34,F,Postgraduate degree,Top 25%,1,married,3+
FQ422Q,25-34,F,University degree,Mid 50%,1,married,2
TL358L,45-64,F,Schooling until age 16,Prefer not to say,0,single,2
ZT634J,45-64,F,Postgraduate degree,Mid 50%,2,married,3+
IG986A,16-24,F,University degree,Mid 50%,0,single,3+
SY910N,25-34,F,University degree,Mid 50%,0,single,1
XV769K,45-64,F,Schooling until age 16,Bottom 25%,0,single,2
SB284U,45-64,F,University degree,Bottom 25%,0,single,0
JK255S,25-34,M,Postgraduate degree,Top 25%,2,married,3+
XA749C,35-44,F,Schooling until age 18,Mid 50%,2,single,0
ER705Q,16-24,F,Schooling until age 18,Mid 50%,0,single,1
NB593Z,35-44,M,Trade / technical school or college,Top 25%,1,married,0
JS722M,35-44,M,Schooling until age 18,Top 25%,0,single,3+
VV477V,45-64,F,Schooling until age 16,Mid 50%,2,married,2
ZM665D,35-44,F,Postgraduate degree,Top 25%,2,married,0
VK288R,45-64,M,University degree,Prefer not to say,2,married,0
VC181N,35-44,F,Trade / technical school or college,Mid 50%,1,single,1
WV192M,16-24,M,Trade / technical school or college,Mid 50%,1,single,2
PZ320U,16-24,M,Schooling until age 18,Top 25%,0,single,0
ES296W,25-34,F,Schooling until age 16,Mid 50%,1,single,0
OT573X,45-64,M,Schooling until age 18,Bottom 25%,2,married,1
IW149D,25-34,M,Trade / technical school or college,Mid 50%,1,married,0
DS429K,35-44,M,University degree,Top 25%,2,married,0
HH396L,45-64,M,University degree,Top 25%,3+,married,1
HR798F,45-64,F,University degree,Bottom 25%,1,single,1
ZQ644E,25-34,M,Schooling until age 16,Mid 50%,0,single,0
ZU885S,45-64,M,Postgraduate degree,Top 25%,2,married,0
JK655R,25-34,F,University degree,Bottom 25%,0,single,3+
NE751Y,16-24,F,Schooling until age 18,Mid 50%,0,single,2
YN280E,45-64,F,Schooling until age 16,Bottom 25%,0,single,2
DA474M,25-34,M,Postgraduate degree,Top 25%,3+,married,3+
HB734Q,45-64,M,Schooling until age 18,Top 25%,2,married,2
FX607J,25-34,M,University degree,Mid 50%,0,married,3+
ZE104Y,35-44,F,University degree,Mid 50%,3+,married,0
GL356N,35-44,F,Schooling until age 18,Mid 50%,2,single,2
SD215K,45-64,F,University degree,Prefer not to say,3+,married,2
FC691Q,25-34,F,Schooling until age 18,Mid 50%,0,single,1
UM945E,45-64,F,University degree,Mid 50%,2,married,2
FR884N,45-64,M,Schooling until age 16,Bottom 25%,0,single,1
TJ395X,35-44,M,Postgraduate degree,Top 25%,2,married,2
QA270N,35-44,F,Schooling until age 18,Mid 50%,0,single,3+
MS209Q,25-34,M,Schooling until age 18,Mid 50%,3+,single,1
WI358R,45-64,F,Schooling until age 16,Mid 50%,2,married,0
BD609J,45-64,F,University degree,Mid 50%,0,single,0
IB800U,25-34,M,University degree,Top 25%,1,married,0
BA966T,16-24,F,Schooling until age 18,Bottom 25%,0,single,0
DP201Z,35-44,F,Postgraduate degree,Prefer not to say,0,single,2
IV946Q,25-34,M,Postgraduate degree,Top 25%,2,single,0
XZ920F,16-24,M,Schooling until age 18,Prefer not to say,0,single,1
AE734T,25-34,M,University degree,Mid 50%,1,married,1
TI770I,45-64,M,Trade / technical school or college,Bottom 25%,1,single,1
HZ917Y,35-44,F,University degree,Top 25%,2,married,2
UV568O,25-34,F,University degree,Bottom 25%,1,married,1
TS528W,35-44,M,Schooling until age 16,Bottom 25%,2,married,1
DF315Y,35-44,M,Schooling until age 18,Mid 50%,0,married,3+
OK257F,35-44,F,Postgraduate degree,Mid 50%,3+,married,3+
GF471C,45-64,M,Trade / technical school or college,Mid 50%,0,single,3+
XJ467E,25-34,M,Postgraduate degree,Top 25%,2,married,2
QZ554Q,25-34,F,University degree,Mid 50%,1,single,0
JX899M,16-24,M,University degree,Top 25%,0,single,2
UT675B,16-24,M,Schooling until age 18,Bottom 25%,0,single,2
BV156M,45-64,M,Schooling until age 18,Bottom 25%,1,single,1
DF653O,35-44,M,Postgraduate degree,Top 25%,2,married,1
HE131V,45-64,F,Schooling until age 18,Mid 50%,2,single,3+
FI158N,45-64,M,Schooling until age 18,Mid 50%,0,single,3+
ZC558A,45-64,F,Schooling until age 16,Bottom 25%,0,single,0
AX584F,35-44,F,University degree,Top 25%,2,married,3+
JJ128K,25-34,F,Postgraduate degree,Mid 50%,1,single,1
NQ170N,45-64,M,Trade / technical school or college,Mid 50%,0,single,1
PQ222N,25-34,F,Schooling until age 18,Mid 50%,3+,married,2
RW335I,45-64,M,Schooling until age 16,Mid 50%,2,single,2
EL543O,45-64,M,Postgraduate degree,Bottom 25%,3+,married,1
FX436P,25-34,M,University degree,Mid 50%,0,single,0
DA151X,45-64,F,Trade / technical school or college,Prefer not to say,2,married,0
ML995G,35-44,M,Schooling until age 18,Mid 50%,1,married,3+
NQ923A,35-44,F,University degree,Mid 50%,3+,married,1
EC886L,35-44,F,Schooling until age 18,Mid 50%,1,married,3+
AP381C,35-44,F,Trade / technical school or college,Mid 50%,0,married,1
VR369B,35-44,F,Postgraduate degree,Top 25%,1,married,1
BL316U,16-24,M,Schooling until age 18,Prefer not to say,0,single,1
BX496T,35-44,M,University degree,Mid 50%,1,married,3+
JR153L,16-24,F,Postgraduate degree,Bottom 25%,0,single,2
CN393P,45-64,F,Schooling until age 18,Prefer not to say,2,single,0
OH789A,45-64,M,Schooling until age 18,Bottom 25%,0,single,3+
DH807Z,45-64,F,Postgraduate degree,Mid 50%,0,single,0
DP280X,25-34,F,University degree,Bottom 25%,0,single,1
YH327N,45-64,M,University degree,Mid 50%,2,single,2
MS907S,25-34,F,University degree,Mid 50%,3+,married,3+
FJ267J,45-64,F,University degree,Top 25%,2,married,0
KS195Z,45-64,M,Trade / technical school or college,Bottom 25%,3+,married,1
DY322F,35-44,M,Trade / technical school or college,Mid 50%,2,married,1
PU587E,45-64,F,Trade / technical school or college,Mid 50%,1,single,3+
HX634V,35-44,F,Schooling until age 16,Prefer not to say,1,single,0
PW228Y,45-64,F,Schooling until age 18,Mid 50%,0,single,0
GW290B,35-44,F,Schooling until age 18,Mid 50%,2,married,0
IC161T,25-34,M,Postgraduate degree,Top 25%,0,single,2
JO911N,45-64,F,Postgraduate degree,Bottom 25%,0,single,0
KG238L,45-64,F,Trade / technical school or college,Prefer not to say,3+,married,0
VL350B,45-64,M,Schooling until age 16,Mid 50%,2,married,0
HX444M,25-34,M,University degree,Mid 50%,2,single,2
NP280E,35-44,F,Schooling until age 18,Mid 50%,3+,married,1
TU854D,45-64,F,Schooling until age 18,Bottom 25%,2,single,2
WA380Y,45-64,M,Schooling until age 18,Prefer not to say,0,single,0
WL524F,16-24,F,Schooling until age 18,Mid 50%,0,single,2
EN802Q,25-34,F,University degree,Mid 50%,1,married,0
WJ773Y,25-34,F,University degree,Mid 50%,0,single,0
MM698X,25-34,F,University degree,Mid 50%,0,single,0
IU649S,35-44,F,Trade / technical school or college,Bottom 25%,0,single,2
WH821S,35-44,M,University degree,Mid 50%,2,married,1
CM664V,45-64,F,University degree,Prefer not to say,0,married,3+
ET711M,16-24,M,Schooling until age 18,Prefer not to say,0,single,1
LO212U,35-44,M,Schooling until age 18,Mid 50%,2,married,1
TT650L,16-24,F,Schooling until age 18,Prefer not to say,0,single,3+
XF591K,35-44,M,University degree,Top 25%,2,married,1
ZJ398U,16-24,F,Schooling until age 18,Prefer not to say,0,single,0
WZ213B,35-44,M,University degree,Top 25%,3+,married,2
OV524A,35-44,M,Postgraduate degree,Top 25%,1,married,0
VZ669T,35-44,M,Postgraduate degree,Mid 50%,0,single,3+
KG794K,35-44,F,Schooling until age 16,Bottom 25%,1,single,1
XT956J,45-64,F,Trade / technical school or college,Mid 50%,1,single,1
BN840B,45-64,F,University degree,Mid 50%,2,married,1
LI257X,35-44,F,Schooling until age 18,Top 25%,3+,single,3+
HF471D,45-64,F,Trade / technical school or college,Top 25%,2,married,3+
NG698H,45-64,F,Schooling until age 18,Bottom 25%,2,married,3+
NK213R,45-64,M,Trade / technical school or college,Prefer not to say,1,married,1
GL919E,45-64,F,University degree,Top 25%,1,married,1
HA109K,45-64,M,Trade / technical school or college,Mid 50%,0,married,1
JW190L,45-64,F,Trade / technical school or college,Mid 50%,3+,married,3+
BA552E,45-64,F,Trade / technical school or college,Bottom 25%,1,single,0
BU198P,45-64,M,Schooling until age 18,Mid 50%,0,single,3+
LG552N,35-44,F,University degree,Bottom 25%,0,married,1
TQ789F,45-64,M,Postgraduate degree,Bottom 25%,2,single,0
YL441X,45-64,F,Schooling until age 16,Prefer not to say,0,single,2
WX847B,35-44,M,Schooling until age 16,Mid 50%,2,single,1
WX811M,45-64,F,University degree,Mid 50%,3+,married,3+
GK907I,16-24,F,University degree,Mid 50%,0,single,2
SB568N,45-64,M,University degree,Top 25%,3+,married,3+
GK822L,45-64,F,University degree,Top 25%,2,married,1
FV569G,16-24,F,Trade / technical school or college,Bottom 25%,0,single,3+
PZ682N,45-64,F,Trade / technical school or college,Top 25%,1,married,1
FK663O,16-24,F,Schooling until age 18,Bottom 25%,0,single,2
HH930N,45-64,F,Schooling until age 18,Mid 50%,1,married,0
CA485E,25-34,F,University degree,Mid 50%,2,married,0
SZ435G,16-24,F,University degree,Mid 50%,0,single,3+
PW232Y,25-34,M,University degree,Top 25%,2,married,2
TG290R,45-64,F,Schooling until age 16,Bottom 25%,2,single,3+
ZI565D,16-24,F,Postgraduate degree,Bottom 25%,0,single,3+
EY691Z,45-64,F,Schooling until age 18,Mid 50%,2,married,2
UK365X,35-44,M,Schooling until age 16,Mid 50%,2,married,0
CC354L,45-64,F,Schooling until age 16,Bottom 25%,0,married,0
NJ919I,25-34,M,Postgraduate degree,Top 25%,1,married,3+
BE755Q,45-64,F,Schooling until age 18,Top 25%,0,single,1
LB448V,45-64,F,Schooling until age 16,Top 25%,2,married,2
QO217Q,45-64,M,Trade / technical school or college,Bottom 25%,3+,married,0
AE323F,35-44,M,University degree,Top 25%,2,married,2
RH800E,45-64,M,University degree,Mid 50%,0,single,1
RG330M,35-44,F,Trade / technical school or college,Top 25%,3+,married,0
ED576Y,25-34,F,Schooling until age 18,Mid 50%,3+,single,3+
LK142B,45-64,M,Trade / technical school or college,Top 25%,1,married,1
CD244B,25-34,F,Schooling until age 16,Prefer not to say,1,married,3+
II274H,25-34,M,University degree,Bottom 25%,0,single,0
DG918F,45-64,F,Trade / technical school or college,Bottom 25%,1,married,2
JN398I,45-64,F,Schooling until age 16,Mid 50%,2,married,1
ND774N,35-44,M,Schooling until age 18,Bottom 25%,2,single,2
UB412C,16-24,F,University degree,Prefer not to say,0,single,0
MO103C,25-34,F,University degree,Bottom 25%,2,married,0
YY386S,25-34,F,Schooling until age 16,Bottom 25%,3+,married,2
OJ939X,45-64,F,Trade / technical school or college,Top 25%,2,married,3+
NB717Q,45-64,F,University degree,Top 25%,2,married,2
OL124H,45-64,M,Schooling until age 18,Bottom 25%,0,single,3+
DV508P,35-44,F,Schooling until age 18,Prefer not to say,2,single,2
VQ799K,16-24,F,Schooling until age 18,Bottom 25%,0,single,2
JN446W,25-34,F,Trade / technical school or college,Mid 50%,0,married,0
TY532W,45-64,M,University degree,Mid 50%,0,married,3+
ZC948W,45-64,F,Postgraduate degree,Mid 50%,2,married,3+
JB363J,35-44,M,University degree,Top 25%,2,married,3+
EO445W,45-64,F,Schooling until age 18,Mid 50%,2,married,3+
MH430V,45-64,F,Trade / technical school or college,Prefer not to say,0,married,1
FB120T,35-44,M,Postgraduate degree,Top 25%,2,married,2
MC899A,35-44,F,Schooling until age 18,Mid 50%,3+,single,1
KU633Q,25-34,F,Schooling until age 18,Mid 50%,0,single,0
LP347R,45-64,F,Trade / technical school or college,Mid 50%,2,single,1
QL855D,45-64,M,Trade / technical school or college,Mid 50%,2,married,3+
FK654Y,45-64,M,University degree,Top 25%,2,married,1
GG721L,45-64,M,University degree,Mid 50%,1,married,0
FA339M,45-64,M,Schooling until age 16,Top 25%,1,married,0
NJ706L,25-34,F,Trade / technical school or college,Bottom 25%,2,single,0
YZ325R,16-24,F,Schooling until age 18,Prefer not to say,0,single,1
UJ307V,16-24,F,University degree,Mid 50%,0,single,1
WO683S,16-24,F,University degree,Bottom 25%,0,single,2
II587B,16-24,M,Trade / technical school or college,Prefer not to say,0,single,1
KU469I,45-64,M,Postgraduate degree,Top 25%,1,married,2
DP990O,45-64,F,Schooling until age 16,Mid 50%,2,married,2
UT120C,35-44,M,Trade / technical school or college,Mid 50%,0,single,0
DC359G,45-64,F,Schooling until age 18,Bottom 25%,1,married,3+
UD138F,45-64,F,Postgraduate degree,Top 25%,0,married,0
ES835B,45-64,F,Schooling until age 18,Prefer not to say,3+,single,2
QW301X,35-44,F,Trade / technical school or college,Mid 50%,2,married,3+
FR362M,35-44,M,University degree,Mid 50%,1,single,1
YE865H,45-64,M,Schooling until age 18,Mid 50%,1,married,1
ZT405Y,45-64,F,Schooling until age 16,Mid 50%,2,married,3+
AD510R,45-64,F,Schooling until age 16,Mid 50%,3+,single,1
VT180G,45-64,M,University degree,Top 25%,3+,married,0
HS369F,45-64,F,Schooling until age 18,Mid 50%,0,single,3+
UQ246D,45-64,M,Schooling until age 18,Mid 50%,0,married,1
DA853E,25-34,M,Schooling until age 18,Bottom 25%,2,single,2
EM538R,45-64,M,Schooling until age 16,Mid 50%,2,married,3+
SQ340J,25-34,M,Trade / technical school or college,Mid 50%,0,single,2
KA637H,45-64,M,University degree,Top 25%,0,single,1
XU673W,16-24,M,University degree,Top 25%,0,single,1
KM647C,16-24,F,University degree,Top 25%,0,single,1
FQ809G,45-64,F,Schooling until age 16,Top 25%,3+,married,1
SR600N,16-24,F,Postgraduate degree,Bottom 25%,0,single,0
XG588P,16-24,F,Schooling until age 16,Mid 50%,0,single,0
PM357N,35-44,F,Trade / technical school or college,Bottom 25%,0,single,2
NU254R,45-64,F,University degree,Bottom 25%,2,single,2
PL508E,45-64,M,University degree,Mid 50%,2,married,2
QG889J,45-64,M,Schooling until age 18,Mid 50%,0,single,1
PJ634Y,25-34,F,Postgraduate degree,Prefer not to say,0,married,1
PB705R,45-64,F,Schooling until age 18,Mid 50%,0,married,3+
ER787S,35-44,M,Schooling until age 18,Top 25%,2,married,0
ZK366R,35-44,M,Trade / technical school or college,Mid 50%,0,single,2
QB271J,35-44,F,Schooling until age 16,Mid 50%,0,married,3+
OD744B,45-64,M,Schooling until age 16,Mid 50%,2,married,3+
